Question ID,Category,Topic,Ref #,Question (FI),Question (EN),Option A (FI),Option A (EN),Option B (FI),Option B (EN),Option C (FI),Option C (EN),Correct (A/B/C),Focus words (FI),Focus words (EN),Positive clues (FI),Positive clues (EN),Negative clues (FI),Negative clues (EN),Explanation (EN),Difficulty,Tags,Status,Reviewer notes
Q136,Special Passenger Needs,Kela / vakiotaksi,Q41,"Asiakas haluaa Kela-korvattavan kyydin, mutta et itse aja Kela-korvattavia kyytejä. Miten ohjaat asiakkaan?",A customer wants a Kela-reimbursed ride but you do not run Kela rides. How do you direct them?,"Otat asiakkaan kyytiin, viet hänet määränpäähän ja pyydät häntä hakemaan Kelalta korvausta taksikyydistä.","You take the customer, drive them to the destination, and ask them to claim reimbursement from Kela.",Neuvon asiakasta soittamaan oman alueensa Kelan tilausvälitysyhtiön palvelunumeroon.,I advise the customer to call the Kela dispatch company's service number for their area.,Kehotan Kela-kyytejä ajavaa kuljettajaa olemaan yhteydessä asiakkaaseen.,I tell a Kela driver to contact the customer.,B,Kela-korvattavan kyydin,a Kela-reimbursed ride,soittamaan oman alueensa Kelan tilausvälitysyhtiön palvelunumeroon,call the Kela dispatch company's service number for their area,Otat asiakkaan kyytiin; Kehotan Kela-kyytejä ajavaa kuljettajaa,you take the customer anyway; I tell a Kela driver,Direct to the Kela dispatch number (B).,Medium,Kela; dispatch; customer guidance,ai-draft,
Q137,Special Passenger Needs,Pyörätuoli / esteetön / special assistance,Q43,Kyytiisi tulee näkövammainen asiakas. Miten hoidat tilanteen?,A visually impaired customer boards your taxi. How do you handle the situation?,"Vaadin, että näkövammaisella on avustaja mukana.",I demand the visually impaired person has an assistant.,"En ota häntä kyytiin, koska en tiedä, miten näkövammaisen kanssa toimitaan.",I do not take them because I do not know how to handle a visually impaired customer.,"Kysyn, miten voin auttaa, ja kerron, missä suunnassa ajoneuvo on, ja tiedustelen, tarvitseeko hän apua.","I ask how I can help and tell them which direction the vehicle is in, and check whether they need assistance.",C,näkövammainen asiakas,a visually impaired customer,"Kysyn, miten voin auttaa; missä suunnassa ajoneuvo on",I ask how I can help; which direction the vehicle is in,"Vaadin, että näkövammaisella on avustaja mukana; En ota häntä kyytiin",I demand an assistant; I do not take them,Ask how to help and orient to the vehicle (C). Demanding an assistant (A) and refusing service out of uncertainty (B) are both wrong.,Easy,visually impaired; ask first; orientation,ai-draft,
Q138,Special Passenger Needs,Pyörätuoli / esteetön / special assistance,Q46,"Mikä seuraavista on oikea tapa toimia, kun taksin asiakkaana on toimintarajoitteinen avustettava henkilö?",Which is the correct way to act when the taxi customer is a person with functional limitations who needs assistance?,"Taksinkuljettajan vastuu asiakkaasta päättyy heti, kun asiakas on avustettu ulos autosta hoitolaitoksen pihassa.",The driver's responsibility ends as soon as the customer has been helped out of the car in the care facility's yard.,"Taksinkuljettajan tulee varmistua, että asiakas pääsee sisälle hoitolaitokseen ja hoitohenkilökunta ottaa vastaan asiakkaan.",The driver must make sure the customer gets inside the care facility and the care staff receive the customer.,"Taksinkuljettajan tulee varmistua, että asiakas pääsee sisälle hoitolaitokseen, ja myös huolehtia asiakkaan ulkovaatteiden riisumisesta.",The driver must make sure the customer gets inside the care facility and also remove the customer's outdoor clothes.,B,toimintarajoitteinen avustettava henkilö,a person with functional limitations who needs assistance,pääsee sisälle hoitolaitokseen; hoitohenkilökunta ottaa vastaan,gets inside the care facility; the care staff receive the customer,vastuu asiakkaasta päättyy heti; ulkovaatteiden riisumisesta,responsibility ends immediately; removing outdoor clothes,Ensure the customer reaches the care staff inside (B). The yard is not enough (A); removing clothes is not the driver's job (C).,Medium,assisted transport; care facility; duty of care,ai-draft,
Q139,Special Passenger Needs,Näkövammainen / opaskoira,Q48,"Mikä seuraavista on oikea kuljettajan toimintatapa, kun taksiin on tulossa näkövammainen asiakas?",Which is the correct driver approach when a visually impaired customer is about to board?,"Kysyä asiakkaalta, miten häntä voi parhaiten auttaa, ja kertoa, missä suunnassa ajoneuvo on.",Ask the customer how you can best help them and tell them which direction the vehicle is in.,"Kysyä asiakkaalta, kuinka kovalla äänellä hänen kanssaan tulee kommunikoida.",Ask the customer how loudly you should communicate with them.,Kuljettajan tehtäviin ei kuulu asiakkaan erityistarpeiden huomioiminen.,It is not part of the driver's duties to consider the customer's special needs.,A,näkövammainen asiakas,a visually impaired customer,miten häntä voi parhaiten auttaa; missä suunnassa ajoneuvo on,how to best help them; which direction the vehicle is in,kuinka kovalla äänellä; ei kuulu asiakkaan erityistarpeiden huomioiminen,how loudly; not part of duties,Ask how to help and orient to the vehicle (A).,Easy,visually impaired; ask first; orientation,ai-draft,
Q140,Special Passenger Needs,Pyörätuoli / esteetön / special assistance,Q58,Mikä seuraavista on paras tapa toimia kohdatessasi näkövammaisen asiakkaan?,Which is the best way to act when meeting a visually impaired customer?,Puhua hiukan normaalia puheääntä kovemmalla äänellä.,Speak a little louder than your normal voice.,Ottaa asiakasta olkapäästä kiinni ja avustaa hänet autoon kevyesti työntäen.,Take the customer by the shoulder and help them into the car with a gentle push.,"Kysyä asiakkaalta, miten häntä voi parhaiten auttaa, ja kertoa, missä suunnassa ajoneuvo on.",Ask the customer how you can best help them and tell them which direction the vehicle is in.,C,näkövammaisen asiakkaan,a visually impaired customer,"Kysyä asiakkaalta, miten häntä voi parhaiten auttaa; missä suunnassa ajoneuvo on",ask how to best help them; which direction the vehicle is in,kovemmalla äänellä; kevyesti työntäen,louder voice; with a gentle push,Ask first and give orientation (C). Louder voice (A) is irrelevant; pushing without consent (B) is inappropriate.,Easy,visually impaired; ask first; orientation,ai-draft,
Q141,Special Passenger Needs,Pyörätuoli / esteetön / special assistance,Q69,"Kenen tulee varmistaa, että liikuntarajoitteinen asiakas pääsee taksin kyytiin ja myös pois?",Whose job is it to ensure that a customer with limited mobility can board and also leave the taxi?,Matkustajan saattajan.,The passenger's escort.,Taksinkuljettajan.,The taxi driver.,Poliisin.,The police.,B,liikuntarajoitteinen asiakas,a customer with limited mobility,Taksinkuljettajan,the taxi driver,Matkustajan saattajan; Poliisin,the passenger's escort; the police,Ensuring the customer can board and alight safely is the taxi driver's responsibility (B).,Easy,mobility; boarding; driver responsibility,ai-draft,
Q142,Special Passenger Needs,Näkövammainen / opaskoira,Q70,"Mistä tunnistat, että asiakkaan mukana oleva koira on työkoira?",How do you recognise that the dog the customer has with them is a working dog?,Koira on suuri ja rauhallinen.,The dog is large and calm.,Asiakas sanoo sen olevan työkoira ilman mitään tunnistetta.,The customer says it is a working dog with no identifying mark.,Koiralla on tunnistusvaljaat.,The dog has identifying harness.,C,koira on työkoira,the dog is a working dog,tunnistusvaljaat,identifying harness,suuri ja rauhallinen; ilman mitään tunnistetta,large and calm; with no identifying mark,A working dog is identified by its official harness (C). Size and calmness (A) are not definitive; the customer's word alone without any identifier (B) is insufficient.,Easy,guide dog; working dog; identification; harness,ai-draft,
Q143,Special Passenger Needs,Communication / kielitaito,Q8,"Asiakas on henkilö, joka ei kykene kommunikoimaan kuljettajan kanssa. Mitä kuljettajalta vaaditaan?",The customer cannot communicate with the driver. What is required of the driver?,"Kuljettajalta edellytetään, että asiakas pääsee oikeaan määränpäähän.",The driver is required to ensure the customer reaches the correct destination.,Kuljettajalta edellytetään asiakkaiden kanssa saman kielen osaamista.,The driver is required to speak the same language as the customer.,Kuljettajalta edellytetään poikkeuslupaa kuljetuksen suorittamiseen.,The driver is required to have an exemption permit to carry out the transport.,A,ei kykene kommunikoimaan kuljettajan kanssa,cannot communicate with the driver,asiakas pääsee oikeaan määränpäähän,the customer reaches the correct destination,saman kielen osaamista; poikkeuslupaa,speaking the same language; an exemption permit,The driver must get the customer to their destination (A).,Medium,communication; destination,ai-draft,
Q144,Special Passenger Needs,Communication / kielitaito,Q85,Mitä sinun tulee ottaa huomioon kuuron asiakkaan kanssa ennen liikkeellelähtöä?,What must you take into account with a deaf customer before setting off?,Varmistan määränpään ja hinnan kirjallisesti tai näyttämällä karttaa.,I confirm the destination and fare in writing or by showing a map.,"Pidän katsekontaktin ja varmistan, että asiakas näkee huuleni puhuessani.",I maintain eye contact and make sure the customer can see my lips when I speak.,Pimeällä autossa tulisi pitää sisävalot päällä kommunikointitilanteissa.,"In the dark, the interior lights should be on in communication situations.",A,kuuron asiakkaan kanssa,with a deaf customer,Varmistan määränpään ja hinnan kirjallisesti tai näyttämällä karttaa,confirm destination and fare in writing or by showing a map,Pidän katsekontaktin; sisävalot päällä,I maintain eye contact; interior lights on,"Confirming the destination and fare in writing or via a map (A) is the most practical first step with a deaf customer. B and C describe valid techniques for specific moments (lip-reading, dark conditions) but A covers the key pre-departure step.",Medium,deaf; communication; written confirmation,ai-draft,
Q145,Special Passenger Needs,Koulu / päivähoito,Q89,"Voitko toimia vakiotaksinkuljettajana säännöllisissä kuntoutukseen liittyvissä matkoissa, kun matkustajana on pyörätuolia käyttävä 15-vuotias lapsi?",Can you act as a regular taxi driver for regular rehabilitation trips when the passenger is a 15-year-old wheelchair user?,"Voin toimia kuljettajana vain, jos minulla on vaadittu koulutus ja soveltuvuus lasten sekä erityisryhmien kuljetuksiin.",I can only act as the driver if I have the required training and suitability for transporting children and special groups.,En voi toimia kuljettajana ilman tarvittavia lupia ja tilaajan hyväksyntää.,I cannot act as the driver without the necessary permits and the client's approval.,"Selvitän työnantajaltani, voinko toimia vakiotaksinkuljettajana.",I check with my employer whether I can act as a regular taxi driver.,A,vakiotaksinkuljettajana; pyörätuolia käyttävä 15-vuotias lapsi,a regular taxi driver; a 15-year-old wheelchair user,vaadittu koulutus ja soveltuvuus,required training and suitability,ilman tarvittavia lupia; Selvitän työnantajaltani,without the necessary permits; I check with my employer,You can only take on this assignment if you have the required training and suitability for children and special groups (A).,Medium,regular taxi; training; suitability; wheelchair,ai-draft,
Q146,Special Passenger Needs,Yleinen taksinkuljettajan velvollisuus,Q91,"Miten tulee toimia, kun otat kyytiin hyvin hitaasti liikkuvan asiakkaan?",How should you act when you pick up a very slow-moving customer?,"Pysäytät ajoneuvon turvallisesti, menet asiakkaan luo rauhallisesti ja tarjoat tarvittaessa apua sekä varmistat turvallisen autoon nousun.","You stop the vehicle safely, approach the customer calmly, offer help if needed, and ensure safe boarding.","Odotat kärsivällisesti, annat asiakkaalle riittävästi aikaa ja varmistat, että hän pääsee turvallisesti istumaan ennen liikkeellelähtöä.","You wait patiently, give the customer enough time, and make sure they are seated safely before setting off.","Nouset ajoneuvosta ja tiedustelet, tarvitseeko hän apua liikkumisessa ja autoon nousemisessa.",You get out of the vehicle and ask whether they need help moving or boarding.,A,hyvin hitaasti liikkuvan asiakkaan,a very slow-moving customer,menet asiakkaan luo rauhallisesti; tarjoat tarvittaessa apua; turvallisen autoon nousun,approach the customer calmly; offer help; safe boarding,Odotat kärsivällisesti; Nouset ajoneuvosta,you wait patiently; you get out,"The ideal is proactive: stop safely, approach, offer help, and ensure safe boarding (A). B is passive (just waiting); C asks but doesn't proactively approach.",Medium,slow-moving; assistance; boarding,ai-draft,
Q147,Special Passenger Needs,Pyörätuoli / esteetön / special assistance,Q92,Miten kuljettajan tulee huomioida näkövammainen asiakas?,How should the driver take a visually impaired customer into account?,"Taksinkuljettajan on hyvä kysyä asiakkaalta, miten häntä voi auttaa, ennen kuin ryhtyy auttamaan asiakasta.",It is good for the driver to ask the customer how they can be helped before starting to assist.,"Kuljettajan tulee esitellä itsensä, kertoa selkeästi, missä ollaan, ja tarjota käsivartta opastamista varten asiakkaan toiveiden mukaisesti.","The driver should introduce themselves, clearly say where you are, and offer their arm for guiding according to the customer's wishes.","Kuljettajan tulee antaa selkeät sanalliset ohjeet, kertoa esteistä tai korkeuseroista, ja varmistaa, että asiakas pääsee turvallisesti ajoneuvoon ja istumaan.","The driver should give clear verbal instructions, describe obstacles or level changes, and ensure the customer boards and is seated safely.",B,näkövammainen asiakas,a visually impaired customer,esitellä itsensä; tarjota käsivartta opastamista varten; asiakkaan toiveiden mukaisesti,introduce themselves; offer their arm for guiding; according to the customer's wishes,"kysyä asiakkaalta, miten häntä voi auttaa, ennen kuin ryhtyy auttamaan; antaa selkeät sanalliset ohjeet",ask before starting to assist; give clear verbal instructions,"The most complete practice: introduce yourself, describe location, offer your arm per the customer's wishes (B). A (ask first) is valid but less complete; C is also good practice but B is the most structured approach.",Medium,visually impaired; introduction; arm guiding,ai-draft,
Q148,Special Passenger Needs,Näkövammainen / opaskoira,Q96,Taksisi kyytiin tulee sokea asiakas. Mihin hänen tulisi ensisijaisesti istua autossa?,A blind customer boards your taxi. Where should they primarily sit?,Asiakas istuu aina takapenkillä kuljettajan takana.,The customer always sits in the back seat behind the driver.,Annetaan asiakkaan istua etupenkillä.,The customer is allowed to sit in the front seat.,Asiakas istuu tavaratilan vieressä takapenkillä.,The customer sits in the back seat next to the luggage area.,B,sokea asiakas,a blind customer,Annetaan asiakkaan istua etupenkillä,the customer is allowed to sit in the front seat,aina takapenkillä kuljettajan takana; tavaratilan vieressä,always in the back seat behind the driver; next to the luggage area,"A blind customer should preferably sit in the front seat — this aids verbal communication with the driver (B). The back seat (A, C) is not preferred.",Easy,blind; front seat; communication,ai-draft,
Q149,Customer Service,Maksu / kuitti / hinta,M101,"Paljonko oheisen hinnaston mukaan on sunnuntaina ajettavan yhden henkilön kyydin kokonaishinta, kun matkan pituus on 20 km ja matka-aika on 30 minuuttia, eikä kiinteää hintaa sovita?","According to the attached price list, what is the total fare for a single-person ride on Sunday, when the distance is 20 km and the journey time is 30 minutes, and no fixed price is agreed?","65,00 €",€65.00,"74,00 €",€74.00,"83,00 €",€83.00,A,sunnuntaina; 20 km; 30 minuuttia,on Sunday; 20 km; 30 minutes,"65,00 €",€65.00,"74,00 €; 83,00 €",€74.00; €83.00,Based on the attached price list the Sunday fare for this distance and time is €65.00 (A).,Hard,fare calculation; Sunday; price list; review-flag,ai-draft,Fare-calculation question references a price list image/table not in the master content. The correct answer A is marked; the calculation must be verified against the actual exam schedule.
Q150,Customer Service,Asiakaspalvelu,M103,"Millä tavoin taksinkuljettajan tulee toimia liikenteessä, jotta hän täyttää tienkäyttäjän ennakointivelvollisuuden?",How must a taxi driver act in traffic to fulfil the road user's duty to anticipate?,Taksinkuljettajan on tienkäyttäjänä ennakoitava toisten tienkäyttäjien toimintaa.,"As a road user, the taxi driver must anticipate the actions of other road users.",Taksinkuljettajan on tienkäyttäjänä käytettävä vain moottorijarrutusta liikenteessä.,"As a road user, the taxi driver must use only engine braking in traffic.",Taksinkuljettajan on tienkäyttäjänä ammattinsa kautta keskityttävä vain asiakaspalveluun.,"As a road user, the taxi driver's professional role means focusing only on customer service.",A,ennakointivelvollisuuden,duty to anticipate,ennakoitava toisten tienkäyttäjien toimintaa,anticipate the actions of other road users,vain moottorijarrutusta; keskityttävä vain asiakaspalveluun,only engine braking; focusing only on customer service,The duty to anticipate means actively predicting how other road users will act (A). Engine-braking only (B) is arbitrary; focusing only on customer service (C) ignores traffic safety duties.,Easy,road user; anticipation; traffic safety,ai-draft,
Q151,Customer Service,Maksu / kuitti / hinta,M104,Mikä seuraavista on oikein liittyen kuittiin?,Which of the following is correct regarding the receipt?,Taksinkuljettajan on tienkäyttäjänä ennakoitava toisten tienkäyttäjien toimintaa.,"As a road user, the taxi driver must anticipate the actions of other road users.",Kuitin tarjoaminen asiakkaalle on pakollista.,Offering the customer a receipt is mandatory.,Kuljettajan tulee valita matkustajan kannalta edullisin ja tarkoituksenmukaisin reitti.,The driver must choose the most cost-effective and appropriate route for the passenger.,B,kuittiin,the receipt,Kuitin tarjoaminen asiakkaalle on pakollista,offering a receipt is mandatory,ennakoitava toisten tienkäyttäjien; edullisin ja tarkoituksenmukaisin reitti,anticipate other road users; most cost-effective route,The driver must offer the customer a receipt (B). Options A and C state correct rules but are unrelated to receipts — they are distractor content from other questions mixed in.,Easy,receipt; mandatory; review-flag,ai-draft,Options A and C in the master appear to be content from other questions (anticipation duty; route selection). This looks like a copy-paste error in the source. The correct answer B is clearly about receipts; flag for source correction.
Q152,Customer Service,Maksu / kuitti / hinta,M14,"Miten kuljettajan tulee toimia, kun hän huomaa perille päästyään, ettei saa asiakasta hereille matkan päätyttyä ja kyyti on maksamatta?","How should the driver act when, upon arrival, they cannot wake the customer at the end of the journey and the fare is unpaid?",Otetaan asiakkaan lompakosta maksukortti ja veloitetaan kyyti lähimaksulla.,Take the customer's payment card from their wallet and charge the fare by contactless payment.,Kuljettajan tulee puheella ensin yrittää herätellä asiakasta ja tarvittaessa soittaa poliisi paikalle.,"The driver must first try to wake the customer by speaking to them and, if needed, call the police.",Kirjoitetaan asiakkaalle lasku ja sijoitetaan se asiakkaan taskuun. Asiakas siirretään taksin ulkopuolelle heräilemään ja soitetaan poliisi paikalle.,Write the customer a bill and place it in their pocket. Move the customer outside the taxi to wake up and call the police.,B,asiakasta hereille; kyyti on maksamatta,wake the customer; the fare is unpaid,puheella ensin yrittää herätellä; soittaa poliisi paikalle,try to wake by speaking; call the police,lompakosta maksukortti; siirretään taksin ulkopuolelle,take the card from the wallet; move the customer outside the taxi,"First try to wake the customer verbally; if unsuccessful, call the police (B). Taking the card without consent (A) is theft; placing a bill in the pocket and dumping them outside (C) is unsafe.",Medium,unconscious passenger; unpaid fare; police,ai-draft,
Q153,Customer Service,Asiakaspalvelu,M16,"Mikä seuraavista on oikein, kun ulkona on pakkasta ja jätät asiakkaan hänen ilmoittamaansa osoitteeseen?",Which is correct when it is freezing outside and you drop the customer at the address they gave?,"Voit jatkaa matkaa, kun asiakas on poistunut taksista.",You may continue once the customer has left the taxi.,"Voit jatkaa matkaa, kun olet varmistunut, että asiakas on päässyt sisätilaan.",You may continue once you have made sure the customer has got indoors.,"Voit jatkaa matkaa, kun asiakas on päässyt pihalle.",You may continue once the customer has reached the yard.,B,ulkona on pakkasta,it is freezing outside,"varmistunut, että asiakas on päässyt sisätilaan",made sure the customer has got indoors,kun asiakas on poistunut taksista; kun asiakas on päässyt pihalle,once the customer has left the taxi; once the customer has reached the yard,In freezing conditions make sure the customer is safely indoors before leaving (B). Leaving the taxi (A) or reaching the yard (C) is insufficient.,Medium,drop-off; cold weather; safety,ai-draft,
Q154,Customer Service,Maksu / kuitti / hinta,M2,Milloin saat pysäyttää taksin maksulliselle pysäköintipaikalle maksua suorittamatta?,When may you stop a taxi in a paid parking space without paying?,Et koskaan.,Never.,Vain liikkumisesteistä asiakasta kyytiin ottaessasi tai kyydistä jättäessäsi.,Only when picking up or dropping off a customer with a mobility impairment.,Aina asiakasta kyytiin ottaessasi tai kyydistä jättäessäsi.,Always when picking up or dropping off a customer.,C,maksulliselle pysäköintipaikalle; maksua suorittamatta,in a paid parking space; without paying,Aina asiakasta kyytiin ottaessasi tai kyydistä jättäessäsi,always when picking up or dropping off a customer,Et koskaan; Vain liikkumisesteistä asiakasta,never; only for a customer with a mobility impairment,"A taxi may stop in a paid parking space without paying whenever picking up or dropping off a customer (C). It is not limited to mobility-impaired customers (B), and it is not never (A).",Medium,parking; pickup; drop-off; exception,ai-draft,
Q155,Customer Service,Muu / asiakastilanne,M29,"Mistä tunnistat, että asiakkaan mukana oleva koira on työkoira?",How do you recognise that the dog with the customer is a working dog?,Koira on vapaana.,The dog is loose.,Koiralla on heijastin.,The dog has a reflector.,Koiralla on tunnistevaljaat.,The dog has identifying harness.,C,koira on työkoira,the dog is a working dog,tunnistevaljaat,identifying harness,Koira on vapaana; heijastin,the dog is loose; a reflector,A working dog wears official identifying harness (C). Being loose (A) or wearing a reflector (B) is not a recognised marker.,Easy,working dog; harness; identification,ai-draft,
Q156,Customer Service,Puhelin / viestimet,M3,Mikä seuraavista on oikein liittyen puhelimen hands-free-laitteeseen?,Which of the following is correct regarding a hands-free device?,"Hands-free-laitetta ei tarvitse käyttää ajoneuvon liikkuessa, jos puhelu kestää alle minuutin.",A hands-free device is not required when the vehicle is moving if the call lasts under a minute.,"Kuljettaja saa ajoneuvon liikkuessa puhua puhelimeen hands-free-laitetta käyttäen, jos se on kuljetuksen suorittamiseksi välttämätöntä.","The driver may use the phone with a hands-free device while the vehicle is moving, if it is essential for carrying out the transport.","Jos taksissa ei ole asiakkaita, kuljettaja saa ajoneuvon liikkuessa puhua puhelimeen ilman hands-free-laitetta.","If there are no customers in the taxi, the driver may speak on the phone while the vehicle is moving without a hands-free device.",B,hands-free-laitteeseen,hands-free device,"hands-free-laitetta käyttäen, jos se on kuljetuksen suorittamiseksi välttämätöntä",using a hands-free device if essential for the transport,alle minuutin; ilman hands-free-laitetta,under a minute; without a hands-free device,A phone call while moving requires a hands-free device and must be necessary for the transport (B). Duration (A) and passenger absence (C) are not valid exceptions.,Medium,phone; hands-free; traffic law,ai-draft,
Q157,Customer Service,Keskustelu / palvelutapa,M50,Mikä seuraavista on hyvää asiakaspalvelua?,Which of the following is good customer service?,Kuljettaja tervehtii kohteliaasti ja on valmis keskustelemaan vain ajoreittiin liittyvistä asioista.,The driver greets politely and is ready to discuss only matters related to the route.,"Kuljettaja tervehtii kohteliaasti ja arvioi, haluaako asiakas keskustella, ja antaa asiakkaan päättää aiheesta.","The driver greets politely, gauges whether the customer wants to talk, and lets the customer choose the topic.",Kuljettaja tervehtii kohteliaasti ja aloittaa keskustelun itselleen mieluisesta aiheesta.,The driver greets politely and starts a conversation about a topic they personally enjoy.,B,hyvää asiakaspalvelua,good customer service,"arvioi, haluaako asiakas keskustella; antaa asiakkaan päättää aiheesta",gauges whether the customer wants to talk; lets the customer choose the topic,vain ajoreittiin liittyvistä asioista; itselleen mieluisesta aiheesta,only matters related to the route; a topic they personally enjoy,Good service means reading the customer and following their lead on conversation (B). Only discussing the route (A) is too restrictive; forcing your own topic (C) ignores the customer's preference.,Easy,customer service; conversation; social skills,ai-draft,
Q158,Customer Service,Asiakaspalvelu,M52,"Miten sinun tulee toimia, jos taksissasi matkustava asiakas käyttäytyy aggressiivisesti sinua kohtaan?",How should you act if a passenger in your taxi behaves aggressively toward you?,Käskeä häntä huutamalla käyttäytymään rauhallisesti.,Tell them loudly to behave calmly.,Käyttäytyä kuin et huomaisikaan hänen aggressiivisuuttaan.,Act as if you have not noticed their aggression.,Rauhoitella häntä puhumalla hänelle rauhallisesti ja ystävällisesti.,Try to calm them down by speaking to them calmly and kindly.,C,käyttäytyy aggressiivisesti,behaves aggressively,puhumalla hänelle rauhallisesti ja ystävällisesti,speaking calmly and kindly,huutamalla; kuin et huomaisikaan,telling them loudly; as if you had not noticed,Stay calm and respond gently to de-escalate (C). Shouting back (A) escalates the situation; ignoring it entirely (B) may allow it to escalate further.,Easy,aggressive passenger; de-escalation; calm response,ai-draft,
Q159,Customer Service,Valitus / palvelun taso,M54,Onko asiakkaalla oikeus valittaa taksimatkan aikana kokemastaan huonosta palvelusta?,Does the customer have the right to complain about poor service experienced during a taxi ride?,"Taksin valitessaan asiakas sitoutuu tiettyyn palveluun, jolloin hänellä ei ole oikeutta valittaa.","When choosing a taxi, the customer commits to a certain service level and therefore has no right to complain.","Asiakkaita kohtaan tulee aina käyttäytyä kohteliaasti ja asiallisesti, joten palvelun tasosta voi tehdä valituksen.","Customers must always be treated politely and professionally, so a complaint about service quality may be made.","Taksinkuljettajan toimintaa asiakaspalvelutilanteessa ei säädellä millään tavalla, joten palvelusta ei voi valittaa.","The taxi driver's conduct in a customer service situation is not regulated in any way, so service cannot be complained about.",B,oikeus valittaa; huonosta palvelusta,right to complain; poor service,käyttäytyä kohteliaasti ja asiallisesti; voi tehdä valituksen,treated politely and professionally; a complaint may be made,ei ole oikeutta valittaa; ei säädellä millään tavalla,has no right to complain; not regulated in any way,Taxi customer service is regulated and customers have the right to complain (B). A and C both falsely deny that right.,Easy,complaint; service quality; customer rights,ai-draft,
Q160,Customer Service,Löytötavara,M55,"Kuinka tulee toimia tilanteessa, jossa kyydin päätyttyä huomaat asiakkaan unohtaneen ajoneuvoon käsilaukkunsa?","How should you act when, at the end of the ride, you notice the customer has left their handbag in the vehicle?",Toimitat käsilaukun kuukauden kuluessa poliisin löytötavaratoimistoon.,You deliver the handbag to the police lost-property office within one month.,Voit jäädä odottamaan asiakkaan yhteydenottoa ja säilyttää käsilaukkua ajoneuvossa.,You may wait for the customer to contact you and keep the handbag in the vehicle.,Toimitat käsilaukun mahdollisimman pian tilausvälitysyhtiön toimistolle.,You deliver the handbag to the dispatch company's office as soon as possible.,C,käsilaukkunsa; kyydin päätyttyä,their handbag; at the end of the ride,mahdollisimman pian tilausvälitysyhtiön toimistolle,to the dispatch company's office as soon as possible,kuukauden kuluessa; jäädä odottamaan asiakkaan yhteydenottoa,within one month; wait for the customer to contact you,Hand the forgotten item to the dispatch office promptly (C). Waiting a month (A) or keeping it in the vehicle hoping the customer calls (B) are both insufficient.,Medium,lost property; dispatch office; found items,ai-draft,
Q161,Customer Service,Keskustelu / palvelutapa,M56,Kuinka kuljettaja pystyy vaikuttamaan asiakkaan kokemaan matkustusmukavuuteen matkan aikana?,How can the driver influence the travel comfort experienced by the customer during the journey?,Kuljettajan tulee ylläpitää jatkuvaa keskustelua asiakkaan kanssa.,The driver must maintain continuous conversation with the customer.,Kuljettajan tulee olla huomaamaton ja äänetön koko matkan ajan.,The driver must be unobtrusive and silent for the entire journey.,Kuljettajalla tulee olla hyvä tilannetaju asiakkaan tarpeista.,The driver must have good situational awareness of the customer's needs.,C,matkustusmukavuuteen,travel comfort,hyvä tilannetaju asiakkaan tarpeista,good situational awareness of the customer's needs,jatkuvaa keskustelua; äänetön koko matkan ajan,continuous conversation; silent for the entire journey,Good situational awareness of what the customer needs — including whether they want silence or chat — is the key (C). Continuous talking (A) and constant silence (B) are both extremes that ignore the customer.,Easy,comfort; situational awareness; customer needs,ai-draft,
Q162,Customer Service,Keskustelu / palvelutapa,M59,Mikä seuraavista on hyvää asiakaspalvelua?,Which of the following is good customer service?,"Kuljettaja tervehtii kohteliaasti ja tunnustelee, onko asiakas halukas jutustelemaan, ja antaa asiakkaan päättää aiheesta.","The driver greets politely, gauges whether the customer is willing to chat, and lets the customer choose the topic.",Kuljettaja tervehtii kohteliaasti ja suostuu keskustelemaan ainoastaan ajoreittiin liittyvistä asioista.,The driver greets politely and agrees to discuss only route-related matters.,Kuljettaja tervehtii kohteliaasti ja aloittaa keskustelun itselleen mieluisesta aiheesta.,The driver greets politely and starts a conversation about a topic they personally enjoy.,A,hyvää asiakaspalvelua,good customer service,"tunnustelee, onko asiakas halukas jutustelemaan; antaa asiakkaan päättää aiheesta",gauges whether the customer is willing to chat; lets the customer choose the topic,ainoastaan ajoreittiin liittyvistä asioista; itselleen mieluisesta aiheesta,only route-related matters; a topic they personally enjoy,Read the customer and follow their lead (A).,Easy,customer service; conversation,ai-draft,
Q163,Customer Service,Puhelin / viestimet,M6,Mikä seuraavista on hyvää viestimien käyttöön liittyvää asiakaspalvelua?,Which of the following is good customer service regarding device use?,"Kuljettaja voi lähettää viestejä, jos puhelin on äänettömällä.",The driver may send messages if the phone is on silent.,"Puhelun soittaminen, jos se on kuljetuksen suorittamiseksi välttämätöntä.",Making a call if it is essential for carrying out the transport.,"Kuljettaja voi puhua henkilökohtaisia puheluita, jos asiakas nukkuu.",The driver may make personal calls if the customer is sleeping.,B,viestimien käyttöön,device use,"Puhelun soittaminen, jos se on kuljetuksen suorittamiseksi välttämätöntä",making a call if essential for the transport,"voi lähettää viestejä, jos puhelin on äänettömällä; henkilökohtaisia puheluita, jos asiakas nukkuu",may send messages if on silent; personal calls if the customer is sleeping,Device use while driving is only permitted if essential for carrying out the transport — with hands-free (B). Silent mode (A) and sleeping customers (C) are not valid exceptions.,Medium,phone; device use; driving; essential calls,ai-draft,
